director_ids,director_name,average_rating_value,average_rating_count,movies_produced,career_Length,CareerStartYear,Gender,birthYear,median_inter_event_time,average_inter_event_time,total_review_count_user,total_review_count_critic,total_metascore,median_metascore,total_awards_won,total_awards_nominated,total_gross_value,total_budget_value,average_runtime_of_movie,director_profession_primary,director_profession_secondary,director_profession_tertiary,director_known_titles_count,director_known_titles_average_rating_value,total_genre_Action,total_genre_Adult,total_genre_Adventure,total_genre_Animation,total_genre_Biography,total_genre_Comedy,total_genre_Crime,total_genre_Documentary,total_genre_Drama,total_genre_Family,total_genre_Fantasy,total_genre_Film_Noir,total_genre_Game_Show,total_genre_History,total_genre_Horror,total_genre_Music,total_genre_Musical,total_genre_Mystery,total_genre_News,total_genre_None,total_genre_Reality_TV,total_genre_Romance,total_genre_Sci_Fi,total_genre_Short,total_genre_Sport,total_genre_Talk_Show,total_genre_Thriller,total_genre_War,total_genre_Western,average_movie_per_year,num_genres_directed
nm0873779,Gary Trousdale,6.8,74530.0,1,13,1989,Male,1960,0.0,0.0,290,146,52,52.0,0.0,0.0,139537975.47662812,199252106.6478244,95.0,1,0,0,4,7.55,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.08,6
nm0878638,David Twohy,6.68,142220.5,4,22,1992,Male,1955,4.0,4.33,2038,877,199,49.0,0.0,0.0,221894026.1013229,259128619.3544444,111.25,0,1,0,4,6.78,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0.18,6
nm0878756,Tom Tykwer,6.7,130777.67,3,31,1986,Male,1965,3.5,3.5,1119,903,165,55.0,0.0,0.0,68879918.411984,214909101.19759157,129.33,0,0,1,3,7.6,1,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.1,7
nm0878763,Morten Tyldum,8.1,500425.0,1,24,1991,Male,1967,0.0,0.0,627,455,73,73.0,0.0,0.0,100210261.56546964,15396414.687472,114.0,1,0,0,4,7.38,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.04,4
nm0881038,Ron Underwood,3.8,20539.0,1,26,1977,Male,1953,0.0,0.0,164,65,12,12.0,0.0,0.0,7095858.087405795,160863613.84084508,95.0,1,0,0,8,6.58,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.04,3
nm0881279,Lee Unkrich,8.25,636289.0,2,20,1991,Female,1967,7.0,7.0,1602,756,182,91.0,0.0,0.0,1111578392.7030537,396170772.63093746,101.5,0,0,0,3,8.13,0,0,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,5
nm0884659,Eric Valette,3.9,27112.0,1,21,1988,Male,1967,0.0,0.0,192,139,24,24.0,0.0,0.0,35747680.94787836,35911906.09444828,87.0,1,0,0,4,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05,2
nm0885249,Jean-Marc Vallée,7.55,212783.5,2,23,1992,Male,1963,1.0,1.0,596,823,160,80.0,2.0,4.0,72641846.95752749,22171936.89386593,116.0,1,0,0,4,7.62,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,3
nm0887452,Erik Van Looy,6.3,36247.0,1,24,1991,Male,1962,0.0,0.0,99,88,24,24.0,0.0,0.0,6578392.011455067,15396414.687472,108.0,1,0,0,4,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.04,3
nm0887635,Kees Van Oostrum,5.2,1496.0,1,31,1983,Male,1953,0.0,0.0,5,7,31,31.0,0.0,0.0,440.44039609132403,5675778.300145929,95.0,0,0,1,8,6.45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.03,2
nm0888743,James Vanderbilt,6.8,11377.0,1,1,2015,Female,1975,0.0,0.0,90,180,66,66.0,0.0,0.0,2707865.26244936,10228193.663999999,125.0,0,0,0,4,6.48,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2
nm0891114,Tom Vaughan,6.5,14496.0,1,22,1989,Male,1969,0.0,0.0,63,127,45,45.0,0.0,0.0,14799169.05731603,38699796.11256072,106.0,1,0,0,8,7.88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1
nm0891216,Matthew Vaughn,7.73,386649.33,3,11,2004,Male,1971,3.5,3.5,1951,1149,189,65.0,0.0,0.0,370752565.1671163,378692042.74876136,129.33,0,0,1,8,7.65,2,0,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.27,9
