director_ids,director_name,average_rating_value,average_rating_count,movies_produced,career_Length,CareerStartYear,Gender,birthYear,median_inter_event_time,average_inter_event_time,total_review_count_user,total_review_count_critic,total_metascore,median_metascore,total_awards_won,total_awards_nominated,total_gross_value,total_budget_value,budget_cur_AUD,budget_cur_CAD,budget_cur_EUR,budget_cur_GBP,budget_cur_INR,budget_cur_USD,average_runtime_of_movie,total_genre_Action,total_genre_Adult,total_genre_Adventure,total_genre_Animation,total_genre_Biography,total_genre_Comedy,total_genre_Crime,total_genre_Documentary,total_genre_Drama,total_genre_Family,total_genre_Fantasy,total_genre_Film_Noir,total_genre_Game_Show,total_genre_History,total_genre_Horror,total_genre_Music,total_genre_Musical,total_genre_Mystery,total_genre_News,total_genre_None,total_genre_Reality_TV,total_genre_Romance,total_genre_Sci_Fi,total_genre_Short,total_genre_Sport,total_genre_Talk_Show,total_genre_Thriller,total_genre_War,total_genre_Western,director_profession_primary,director_profession_secondary,director_profession_tertiary,director_known_titles_count,director_known_titles_average_rating_value,average_movie_per_year,num_countries_screened,num_genres_directed,num_languages_released
nm0510731,Doug Liman,7.13,233231.57,7,21,1994,Male,1965,3.0,3.0,3702,1727,441,69.0,0.0,0.0,519041027.0,485200000.0,0,0,0,0,0,1,106.57,4,0,2,0,1,3,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,4,0,0,0,1,0,8,7.5,0.33,1,10,9
nm0510912,Justin Lin,6.69,141965.38,8,20,1997,Male,1971,2.0,2.0,2334,1712,437,53.5,0.0,0.0,845771550.0,666750000.0,0,0,0,0,0,1,110.88,5,0,1,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,5,0,0,0,1,0,4,7.2,0.4,1,9,7
nm0512862,Caroline Link,7.7,10786.0,1,18,1984,Female,1964,0.0,0.0,84,73,72,72.0,0.0,0.0,6173485.0,7000000.0,0,0,1,0,0,0,141.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,7.35,0.06,1,2,3
nm0514546,Dwight H. Little,4.6,22819.0,1,20,1985,Male,1956,0.0,0.0,145,93,40,40.0,0.0,0.0,31526393.0,25000000.0,0,0,0,0,0,1,97.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,5.38,0.05,1,4,2
nm0514906,Chia-Liang Liu,7.6,35109.0,1,22,1973,Female,1936,0.0,0.0,146,77,74,74.0,0.0,0.0,11546543.0,10000000.0,0,0,0,0,0,1,102.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6.65,0.05,1,2,1
nm0515234,Christopher Livingston,6.7,448.0,1,1,1999,Male,1964,0.0,0.0,19,24,48,48.0,0.0,0.0,81570.0,1200000.0,0,0,0,0,0,1,108.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,5.1,1.0,1,3,2
nm0515891,Luis Llosa,4.6,75370.0,1,14,1984,Male,1951,0.0,0.0,274,118,37,37.0,0.0,0.0,65557989.0,45000000.0,0,0,0,0,0,1,89.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,4.65,0.07,1,4,1
nm0518644,Richard Loncraine,6.07,36126.0,3,45,1970,Male,1946,5.0,5.0,518,367,159,55.0,0.0,0.0,66589716.0,87000000.0,0,0,0,0,0,1,98.33,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,8,7.32,0.07,1,6,2
nm0518836,Kenneth Lonergan,7.1,17640.5,2,12,2000,Male,1962,11.0,11.0,350,238,146,73.0,0.0,0.0,9226770.0,15200000.0,0,0,0,0,0,1,130.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,7.57,0.17,1,1,1
nm0520485,Peter Lord,7.0,142954.0,1,24,1977,Male,1953,0.0,0.0,359,186,88,88.0,0.0,0.0,106793915.0,45000000.0,0,0,0,0,0,1,84.0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7.25,0.04,1,5,1
nm0520488,Phil Lord,7.28,274423.0,4,13,2002,Male,1975,2.0,1.67,1299,1337,289,70.0,0.0,0.0,712690377.0,252000000.0,0,0,0,0,0,1,102.75,3,0,1,2,0,4,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,7.73,0.31,1,8,3
nm0521601,Ye Lou,7.1,2052.0,1,13,1994,Male,1965,0.0,0.0,26,34,79,79.0,0.0,0.0,62707.0,2500000.0,0,0,0,0,0,1,140.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,7.03,0.08,2,2,2
nm0521974,Todd Louiso,7.0,6347.0,1,8,1995,Male,1970,0.0,0.0,94,54,58,58.0,0.0,0.0,211724.0,1000000.0,0,0,0,0,0,1,90.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6.92,0.12,1,2,1
nm0522393,Nick Love,6.1,16677.0,1,14,1999,Male,1969,0.0,0.0,100,110,48,48.0,0.0,0.0,26345.0,3000000.0,0,0,0,1,0,0,112.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6.62,0.07,1,3,2
nm0523094,Jeff Lowell,5.2,21471.0,1,1,2008,Male,1973,0.0,0.0,53,99,30,30.0,0.0,0.0,7563670.0,10000000.0,0,0,0,0,0,1,95.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,6.65,1.0,1,3,1
nm0524108,Craig Lucas,6.6,2158.0,1,1,2005,Male,1951,0.0,0.0,57,44,62,62.0,0.0,0.0,342297.0,4000000.0,0,0,0,0,0,1,92.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8,6.57,1.0,1,2,1
